Authors,Title,Year,Abstract,Cited by,Source title,DOI
"Smith J.; Lee K.","Machine learning methods for cardiovascular risk prediction using clinical data",2020,"This study reviews supervised algorithms for cardiovascular risk prediction using clinical variables and patient records.",45,"Journal of Clinical Informatics",10.0000/demo1
"Garcia M.; Patel R.","Predictive models for heart disease detection in electronic health records",2021,"The article evaluates classification models for heart disease detection from electronic health records and structured clinical datasets.",38,"Health Data Science",10.0000/demo2
"Chen L.; Kumar S.","Explainable artificial intelligence in cardiovascular disease prediction",2022,"Explainable machine learning techniques are compared to improve trust in cardiovascular disease prediction among clinical users.",52,"Artificial Intelligence in Medicine",10.0000/demo3
"Brown A.; Silva P.","Deep learning and clinical features for cardiac event prediction",2023,"Deep neural networks and traditional machine learning models are applied to predict cardiac events using clinical features.",26,"Computers in Biology",10.0000/demo4
"Torres C.; Wang Y.","Random forest models for cardiovascular risk stratification",2019,"Random forest and logistic regression are compared for cardiovascular risk stratification in adult patients.",61,"Medical Decision Analytics",10.0000/demo5
"Ahmed N.; Rossi F.","Clinical data preprocessing for machine learning in heart disease",2024,"This paper analyzes missing values imputation and feature engineering strategies for machine learning models in heart disease datasets.",14,"Biomedical Informatics Reports",10.0000/demo6
"Miller D.; Santos R.","Comparative analysis of machine learning algorithms for cardiovascular diagnosis",2020,"Several machine learning algorithms are tested for cardiovascular diagnosis and evaluated by accuracy, recall and AUC.",33,"Journal of Medical Systems",10.0000/demo7
"Nguyen T.; Perez L.","Feature selection in cardiovascular prediction models",2021,"Feature selection methods are studied to improve model performance in cardiovascular disease prediction tasks.",29,"Clinical Analytics",10.0000/demo8
"Johnson P.; Kim H.","Using patient clinical history to predict heart failure",2022,"Patient history, laboratory measurements and clinical data are used to train machine learning models for heart failure prediction.",41,"Healthcare Informatics",10.0000/demo9
"Lopez E.; Martin G.","Streamlit dashboards for bibliometric analysis of machine learning literature",2025,"This work presents dashboards for analyzing scientific publications, citation trends and keywords in machine learning research.",8,"Data Visualization in Science",10.0000/demo10
